region,microplastic_mean,microplastic_max,microplastic_sample_count,river_plastic_kg_total,port_count,port_pressure_score,coastal_pop_10km,gdp_mean,ph_mean,ph_min,dissolved_oxygen_mean,dissolved_oxygen_min,sst_mean,sst_max,sst_thermal_stress,wastewater_total,wastewater_countries,mismanagement_rate_mean,oil_spill_pressure,ohi_clean_water,ohi_biodiversity,score_microplastic,score_river,score_port,score_population,score_ph,score_oxygen,score_temperature,score_wastewater,score_mismanagement,score_oil,score_clean_water,score_biodiversity,pollution_index,pollution_grade,pollution_index_2030,pollution_index_2040,pollution_index_2050,pollution_index_2100,pollution_grade_2050,pollution_grade_2100,mp_growth_rate,pop_growth_rate,thermal_growth_rate,blended_growth_rate
Baltic Sea,0.2049116666666667,0.416986,3.0,,80.0,97.0,3328244.7,41625.06162724562,8.14296,7.2336726,356.2340769230769,337.933,7.399384615384615,9.694,0.0,0.0,,26.685574,0.0,70.27,69.725,7.704911216826078e-05,0.0,6.327462491846053,1.5950366785466712,0.0,2.2678085932335845,0.0,0.0,55.12768203360405,0.0,32.851001363112104,71.74717368961976,8.36,Minimal,8.96,10.67,12.71,30.4,Low,Moderate,0.03,0.0002,0.0051,0.0176
Black Sea,9.63,,,35000.0,0.0,0.0,18000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,66.50999999999999,71.27,0.0047895944761391,6.0344827586206895,0.0,8.636946003539055,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,40.736080528468094,62.219938335046265,23.41,Low,24.97,29.36,34.51,77.45,Moderate,Critical,0.03,-0.0046,0.0047,0.0163
Red Sea,45.0,,,3000.0,0.0,0.0,8000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,64.65333333333332,73.74,0.0224745989693223,0.5172413793103449,0.0,3.837309435859669,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,44.629687882283065,46.98869475847896,21.63,Low,23.35,28.27,34.22,89.0,Moderate,Critical,0.03,0.007,0.0051,0.0193
Persian Gulf,339.5,,,8000.0,0.0,0.0,15000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,72.792,73.568,0.1697246363807575,1.3793103448275863,0.0,7.197055033235239,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,27.56212645486002,48.04933196300103,21.25,Low,22.94,27.77,33.62,87.44,Moderate,Critical,0.03,0.007,0.0054,0.0193
South China Sea,1198.0,,,580000.0,0.0,0.0,85000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,70.015,73.22,0.5989747454392198,100.0,0.0,40.79451100699095,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,33.385760721400864,50.195272353545725,39.21,Moderate,41.96,49.72,58.9,137.5,High,Critical,0.03,-0.0003,0.0036,0.0171
Bay of Bengal,365.8,,,9654.0,0.0,0.0,120000000.0,,8.05,,252.0130295342492,,,,0.0,34.2843,6.0,26.685574,0.0,66.82,72.01,0.1828746397217448,1.6644827586206896,0.0,57.59323899386879,78.194565,89.81771996975826,0.0,1.1567533319679812,55.12768203360405,0.0,40.08598091643076,57.65673175745114,26.5,Low,28.45,33.97,40.57,98.5,Moderate,Critical,0.03,0.0025,0.0039,0.0179
Arabian Sea,45.0,,,255.0,0.0,0.0,45000000.0,,8.05,,252.0130295342492,,,,0.0,25.461943951,15.0,26.685574,0.0,64.86333333333333,65.67666666666666,0.0224745989693223,0.0439655172413793,0.0,21.5959647362734,78.194565,89.81771996975826,0.0,0.859086768687161,55.12768203360405,0.0,44.18929782251583,96.71120246659817,25.49,Low,27.38,32.72,39.11,95.43,Moderate,Critical,0.03,0.0025,0.0043,0.018
Gulf of Guinea,80.0,,,15276.0,0.0,0.0,25000000.0,,8.05,,252.0130295342492,,,,0.0,6.4596,12.0,26.685574,0.0,38.25,69.54666666666667,0.0399746034155031,2.633793103448276,0.0,11.996691600914628,78.194565,89.81771996975826,0.0,0.2179471018273779,55.12768203360405,0.0,100.0,72.84686536485097,26.68,Low,28.89,35.25,43.01,116.35,Moderate,Critical,0.03,0.0112,0.0039,0.0201
Coral Sea,2.5,,,5000.0,0.0,0.0,2500000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,73.73,72.62,0.0012245935703885,0.8620689655172413,0.0,1.1975093236360068,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,25.59505085456642,53.895169578622784,20.86,Low,22.46,27.04,32.54,82.18,Moderate,Critical,0.03,0.0061,0.0036,0.0187
Tasman Sea,1.8,,,4000.0,0.0,0.0,8000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,72.55,81.36,0.0008745934814649,0.6896551724137931,0.0,3.837309435859669,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,28.069623571353684,0.0,18.47,Low,19.88,23.91,28.74,72.23,Low,Critical,0.03,0.0056,0.0035,0.0186
