m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
72,Water use,Wastewater,Produced municipal wastewater,Botswana,2022,0.04005,10^9 m3/year,I,false
72,Water use,Wastewater,Produced municipal wastewater,Botswana,2023,0.04,10^9 m3/year,A,false
76,Water use,Wastewater,Produced municipal wastewater,Brazil,2021,10.99,10^9 m3/year,A,false
76,Water use,Wastewater,Produced municipal wastewater,Brazil,2022,9.145465253,10^9 m3/year,A,false
76,Water use,Wastewater,Produced municipal wastewater,Brazil,2023,9.745773665,10^9 m3/year,A,false
100,Water use,Wastewater,Produced municipal wastewater,Bulgaria,2021,0.6,10^9 m3/year,A,false
100,Water use,Wastewater,Produced municipal wastewater,Bulgaria,2022,0.587,10^9 m3/year,A,false
100,Water use,Wastewater,Produced municipal wastewater,Bulgaria,2023,0.588,10^9 m3/year,A,false
854,Water use,Wastewater,Produced municipal wastewater,Burkina Faso,2021,0.0487,10^9 m3/year,I,false
854,Water use,Wastewater,Produced municipal wastewater,Burkina Faso,2022,0.0487,10^9 m3/year,I,false
854,Water use,Wastewater,Produced municipal wastewater,Burkina Faso,2023,0.0487,10^9 m3/year,I,false
132,Water use,Wastewater,Produced municipal wastewater,Cabo Verde,2021,0.01358334,10^9 m3/year,A,false
132,Water use,Wastewater,Produced municipal wastewater,Cabo Verde,2022,0.02841915,10^9 m3/year,A,false
132,Water use,Wastewater,Produced municipal wastewater,Cabo Verde,2023,0.02841915,10^9 m3/year,I,false
120,Water use,Wastewater,Produced municipal wastewater,Cameroon,2021,0.0662,10^9 m3/year,I,false
120,Water use,Wastewater,Produced municipal wastewater,Cameroon,2022,0.0662,10^9 m3/year,I,false
120,Water use,Wastewater,Produced municipal wastewater,Cameroon,2023,0.0662,10^9 m3/year,I,false
124,Water use,Wastewater,Produced municipal wastewater,Canada,2021,5.478,10^9 m3/year,A,false
124,Water use,Wastewater,Produced municipal wastewater,Canada,2022,5.795,10^9 m3/year,A,false
124,Water use,Wastewater,Produced municipal wastewater,Canada,2023,6.031,10^9 m3/year,A,false
143,Water use,Wastewater,Produced municipal wastewater,Central Asia,2021,13.0649556,10^9 m3/year,E,true
143,Water use,Wastewater,Produced municipal wastewater,Central Asia,2022,13.4439556,10^9 m3/year,E,true
143,Water use,Wastewater,Produced municipal wastewater,Central Asia,2023,12.9939556,10^9 m3/year,E,true
62,Water use,Wastewater,Produced municipal wastewater,Central and Southern Asia,2021,41.637848901,10^9 m3/year,E,true
62,Water use,Wastewater,Produced municipal wastewater,Central and Southern Asia,2022,42.292848725,10^9 m3/year,E,true
62,Water use,Wastewater,Produced municipal wastewater,Central and Southern Asia,2023,41.885848725,10^9 m3/year,E,true
152,Water use,Wastewater,Produced municipal wastewater,Chile,2021,1.112,10^9 m3/year,I,false
152,Water use,Wastewater,Produced municipal wastewater,Chile,2022,1.112,10^9 m3/year,I,false
152,Water use,Wastewater,Produced municipal wastewater,Chile,2023,1.112,10^9 m3/year,I,false
156,Water use,Wastewater,Produced municipal wastewater,China,2021,48.51,10^9 m3/year,I,false
156,Water use,Wastewater,Produced municipal wastewater,China,2022,48.51,10^9 m3/year,I,false
156,Water use,Wastewater,Produced municipal wastewater,China,2023,48.51,10^9 m3/year,I,false
170,Water use,Wastewater,Produced municipal wastewater,Colombia,2021,1.630958509,10^9 m3/year,A,false
170,Water use,Wastewater,Produced municipal wastewater,Colombia,2022,1.647555671,10^9 m3/year,A,false
170,Water use,Wastewater,Produced municipal wastewater,Colombia,2023,1.782,10^9 m3/year,A,false
188,Water use,Wastewater,Produced municipal wastewater,Costa Rica,2021,0.60093965,10^9 m3/year,I,false
188,Water use,Wastewater,Produced municipal wastewater,Costa Rica,2022,0.60093965,10^9 m3/year,I,false
188,Water use,Wastewater,Produced municipal wastewater,Costa Rica,2023,0.60093965,10^9 m3/year,I,false
191,Water use,Wastewater,Produced municipal wastewater,Croatia,2021,0.363,10^9 m3/year,A,false
191,Water use,Wastewater,Produced municipal wastewater,Croatia,2022,0.355,10^9 m3/year,A,false
191,Water use,Wastewater,Produced municipal wastewater,Croatia,2023,0.36,10^9 m3/year,A,false
192,Water use,Wastewater,Produced municipal wastewater,Cuba,2021,2.519838565,10^9 m3/year,I,false
192,Water use,Wastewater,Produced municipal wastewater,Cuba,2022,2.519838565,10^9 m3/year,I,false
192,Water use,Wastewater,Produced municipal wastewater,Cuba,2023,2.519838565,10^9 m3/year,I,false
196,Water use,Wastewater,Produced municipal wastewater,Cyprus,2021,0.03544,10^9 m3/year,A,false
196,Water use,Wastewater,Produced municipal wastewater,Cyprus,2022,0.056,10^9 m3/year,A,false
196,Water use,Wastewater,Produced municipal wastewater,Cyprus,2023,0.056,10^9 m3/year,A,false
203,Water use,Wastewater,Produced municipal wastewater,Czechia,2021,0.91,10^9 m3/year,A,false
203,Water use,Wastewater,Produced municipal wastewater,Czechia,2022,0.818,10^9 m3/year,A,false
203,Water use,Wastewater,Produced municipal wastewater,Czechia,2023,0.887,10^9 m3/year,A,false
208,Water use,Wastewater,Produced municipal wastewater,Denmark,2021,0.35288,10^9 m3/year,A,false
208,Water use,Wastewater,Produced municipal wastewater,Denmark,2022,0.345164,10^9 m3/year,A,false
208,Water use,Wastewater,Produced municipal wastewater,Denmark,2023,0.340468,10^9 m3/year,A,false
214,Water use,Wastewater,Produced municipal wastewater,Dominican Republic,2021,0.941,10^9 m3/year,I,false
214,Water use,Wastewater,Produced municipal wastewater,Dominican Republic,2022,0.941,10^9 m3/year,I,false
214,Water use,Wastewater,Produced municipal wastewater,Dominican Republic,2023,0.941,10^9 m3/year,I,false
30,Water use,Wastewater,Produced municipal wastewater,Eastern Asia,2021,73.424,10^9 m3/year,E,true
30,Water use,Wastewater,Produced municipal wastewater,Eastern Asia,2022,73.424,10^9 m3/year,E,true
30,Water use,Wastewater,Produced municipal wastewater,Eastern Asia,2023,73.424,10^9 m3/year,E,true
753,Water use,Wastewater,Produced municipal wastewater,Eastern and South-Eastern Asia,2021,98.872128837,10^9 m3/year,E,true
753,Water use,Wastewater,Produced municipal wastewater,Eastern and South-Eastern Asia,2022,98.872128837,10^9 m3/year,E,true
753,Water use,Wastewater,Produced municipal wastewater,Eastern and South-Eastern Asia,2023,98.872128837,10^9 m3/year,E,true
218,Water use,Wastewater,Produced municipal wastewater,Ecuador,2021,0.4575,10^9 m3/year,I,false
218,Water use,Wastewater,Produced municipal wastewater,Ecuador,2022,0.4575,10^9 m3/year,I,false
218,Water use,Wastewater,Produced municipal wastewater,Ecuador,2023,0.4575,10^9 m3/year,I,false
818,Water use,Wastewater,Produced municipal wastewater,Egypt,2021,11.899,10^9 m3/year,I,false
818,Water use,Wastewater,Produced municipal wastewater,Egypt,2022,11.899,10^9 m3/year,I,false
818,Water use,Wastewater,Produced municipal wastewater,Egypt,2023,11.899,10^9 m3/year,I,false
222,Water use,Wastewater,Produced municipal wastewater,El Salvador,2021,0.2884577,10^9 m3/year,I,false
222,Water use,Wastewater,Produced municipal wastewater,El Salvador,2022,0.3492436,10^9 m3/year,A,false
222,Water use,Wastewater,Produced municipal wastewater,El Salvador,2023,0.36209,10^9 m3/year,A,false
232,Water use,Wastewater,Produced municipal wastewater,Eritrea,2021,0.018,10^9 m3/year,I,false
232,Water use,Wastewater,Produced municipal wastewater,Eritrea,2022,0.018,10^9 m3/year,I,false
232,Water use,Wastewater,Produced municipal wastewater,Eritrea,2023,0.018,10^9 m3/year,I,false
233,Water use,Wastewater,Produced municipal wastewater,Estonia,2021,0.098127083,10^9 m3/year,A,false
233,Water use,Wastewater,Produced municipal wastewater,Estonia,2022,0.09495961,10^9 m3/year,A,false
233,Water use,Wastewater,Produced municipal wastewater,Estonia,2023,0.106193688,10^9 m3/year,A,false
748,Water use,Wastewater,Produced municipal wastewater,Eswatini,2021,0.0132,10^9 m3/year,I,false
748,Water use,Wastewater,Produced municipal wastewater,Eswatini,2022,0.0132,10^9 m3/year,I,false
748,Water use,Wastewater,Produced municipal wastewater,Eswatini,2023,0.0132,10^9 m3/year,I,false
150,Water use,Wastewater,Produced municipal wastewater,Europe,2021,82.575860852,10^9 m3/year,E,true
150,Water use,Wastewater,Produced municipal wastewater,Europe,2022,82.310411914,10^9 m3/year,E,true
150,Water use,Wastewater,Produced municipal wastewater,Europe,2023,84.203786051,10^9 m3/year,E,true
513,Water use,Wastewater,Produced municipal wastewater,Europe and Northern America,2021,148.467226152,10^9 m3/year,E,true
513,Water use,Wastewater,Produced municipal wastewater,Europe and Northern America,2022,148.518777214,10^9 m3/year,E,true
513,Water use,Wastewater,Produced municipal wastewater,Europe and Northern America,2023,150.648151351,10^9 m3/year,E,true
246,Water use,Wastewater,Produced municipal wastewater,Finland,2021,0.5,10^9 m3/year,I,false
246,Water use,Wastewater,Produced municipal wastewater,Finland,2022,0.5,10^9 m3/year,I,false
246,Water use,Wastewater,Produced municipal wastewater,Finland,2023,0.5,10^9 m3/year,I,false
250,Water use,Wastewater,Produced municipal wastewater,France,2021,5.118886655,10^9 m3/year,I,false
250,Water use,Wastewater,Produced municipal wastewater,France,2022,5.118886655,10^9 m3/year,I,false
250,Water use,Wastewater,Produced municipal wastewater,France,2023,5.118886655,10^9 m3/year,I,false
268,Water use,Wastewater,Produced municipal wastewater,Georgia,2021,0.22186,10^9 m3/year,A,false
268,Water use,Wastewater,Produced municipal wastewater,Georgia,2022,0.22471,10^9 m3/year,A,false
268,Water use,Wastewater,Produced municipal wastewater,Georgia,2023,0.22471,10^9 m3/year,I,false
276,Water use,Wastewater,Produced municipal wastewater,Germany,2021,7.977757142,10^9 m3/year,A,false
276,Water use,Wastewater,Produced municipal wastewater,Germany,2022,7.755172,10^9 m3/year,A,false
276,Water use,Wastewater,Produced municipal wastewater,Germany,2023,7.755172,10^9 m3/year,I,false
288,Water use,Wastewater,Produced municipal wastewater,Ghana,2021,0.28,10^9 m3/year,I,false
288,Water use,Wastewater,Produced municipal wastewater,Ghana,2022,0.28,10^9 m3/year,I,false
288,Water use,Wastewater,Produced municipal wastewater,Ghana,2023,0.28,10^9 m3/year,I,false
308,Water use,Wastewater,Produced municipal wastewater,Grenada,2021,0.011,10^9 m3/year,I,false
308,Water use,Wastewater,Produced municipal wastewater,Grenada,2022,0.011,10^9 m3/year,I,false
308,Water use,Wastewater,Produced municipal wastewater,Grenada,2023,0.011,10^9 m3/year,I,false
320,Water use,Wastewater,Produced municipal wastewater,Guatemala,2021,0.668,10^9 m3/year,I,false
320,Water use,Wastewater,Produced municipal wastewater,Guatemala,2022,0.668,10^9 m3/year,I,false
320,Water use,Wastewater,Produced municipal wastewater,Guatemala,2023,0.668,10^9 m3/year,I,false
348,Water use,Wastewater,Produced municipal wastewater,Hungary,2021,0.594838663,10^9 m3/year,I,false
348,Water use,Wastewater,Produced municipal wastewater,Hungary,2022,0.595941027,10^9 m3/year,I,false
348,Water use,Wastewater,Produced municipal wastewater,Hungary,2023,0.59704339,10^9 m3/year,A,false
356,Water use,Wastewater,Produced municipal wastewater,India,2021,15.45,10^9 m3/year,I,false
356,Water use,Wastewater,Produced municipal wastewater,India,2022,15.45,10^9 m3/year,I,false
356,Water use,Wastewater,Produced municipal wastewater,India,2023,15.45,10^9 m3/year,I,false
360,Water use,Wastewater,Produced municipal wastewater,Indonesia,2021,14.29,10^9 m3/year,I,false
360,Water use,Wastewater,Produced municipal wastewater,Indonesia,2022,14.29,10^9 m3/year,I,false
360,Water use,Wastewater,Produced municipal wastewater,Indonesia,2023,14.29,10^9 m3/year,I,false
364,Water use,Wastewater,Produced municipal wastewater,Iran (Islamic Republic of),2021,3.893000176,10^9 m3/year,A,false
364,Water use,Wastewater,Produced municipal wastewater,Iran (Islamic Republic of),2022,4.169,10^9 m3/year,A,false
364,Water use,Wastewater,Produced municipal wastewater,Iran (Islamic Republic of),2023,4.212,10^9 m3/year,A,false
368,Water use,Wastewater,Produced municipal wastewater,Iraq,2021,3.867,10^9 m3/year,A,false
368,Water use,Wastewater,Produced municipal wastewater,Iraq,2022,3.806,10^9 m3/year,A,false
368,Water use,Wastewater,Produced municipal wastewater,Iraq,2023,3.806,10^9 m3/year,I,false
372,Water use,Wastewater,Produced municipal wastewater,Ireland,2021,0.783,10^9 m3/year,I,false
372,Water use,Wastewater,Produced municipal wastewater,Ireland,2022,0.783,10^9 m3/year,I,false
372,Water use,Wastewater,Produced municipal wastewater,Ireland,2023,0.783,10^9 m3/year,I,false
376,Water use,Wastewater,Produced municipal wastewater,Israel,2021,0.570114,10^9 m3/year,A,false
376,Water use,Wastewater,Produced municipal wastewater,Israel,2022,0.5891178,10^9 m3/year,A,false
376,Water use,Wastewater,Produced municipal wastewater,Israel,2023,0.59371872,10^9 m3/year,A,false
380,Water use,Wastewater,Produced municipal wastewater,Italy,2021,3.926,10^9 m3/year,I,false
380,Water use,Wastewater,Produced municipal wastewater,Italy,2022,3.926,10^9 m3/year,I,false
380,Water use,Wastewater,Produced municipal wastewater,Italy,2023,3.926,10^9 m3/year,I,false
392,Water use,Wastewater,Produced municipal wastewater,Japan,2021,16.93,10^9 m3/year,I,false
392,Water use,Wastewater,Produced municipal wastewater,Japan,2022,16.93,10^9 m3/year,I,false
392,Water use,Wastewater,Produced municipal wastewater,Japan,2023,16.93,10^9 m3/year,I,false
400,Water use,Wastewater,Produced municipal wastewater,Jordan,2021,0.1807,10^9 m3/year,I,false
400,Water use,Wastewater,Produced municipal wastewater,Jordan,2022,0.1807,10^9 m3/year,I,false
400,Water use,Wastewater,Produced municipal wastewater,Jordan,2023,0.1807,10^9 m3/year,I,false
398,Water use,Wastewater,Produced municipal wastewater,Kazakhstan,2021,5.483,10^9 m3/year,A,false
398,Water use,Wastewater,Produced municipal wastewater,Kazakhstan,2022,5.862,10^9 m3/year,A,false
398,Water use,Wastewater,Produced municipal wastewater,Kazakhstan,2023,5.412,10^9 m3/year,A,false
404,Water use,Wastewater,Produced municipal wastewater,Kenya,2021,1.775894835,10^9 m3/year,I,false
404,Water use,Wastewater,Produced municipal wastewater,Kenya,2022,1.775894835,10^9 m3/year,I,false
404,Water use,Wastewater,Produced municipal wastewater,Kenya,2023,1.775894835,10^9 m3/year,I,false
414,Water use,Wastewater,Produced municipal wastewater,Kuwait,2021,0.292,10^9 m3/year,I,false
414,Water use,Wastewater,Produced municipal wastewater,Kuwait,2022,0.292,10^9 m3/year,I,false
414,Water use,Wastewater,Produced municipal wastewater,Kuwait,2023,0.292,10^9 m3/year,I,false
417,Water use,Wastewater,Produced municipal wastewater,Kyrgyzstan,2021,0.0658,10^9 m3/year,I,false
417,Water use,Wastewater,Produced municipal wastewater,Kyrgyzstan,2022,0.0658,10^9 m3/year,I,false
417,Water use,Wastewater,Produced municipal wastewater,Kyrgyzstan,2023,0.0658,10^9 m3/year,I,false
432,Water use,Wastewater,Produced municipal wastewater,Land Locked Developing Countries,2021,16.374542392,10^9 m3/year,E,true
432,Water use,Wastewater,Produced municipal wastewater,Land Locked Developing Countries,2022,16.702392392,10^9 m3/year,E,true
432,Water use,Wastewater,Produced municipal wastewater,Land Locked Developing Countries,2023,16.254712392,10^9 m3/year,E,true
418,Water use,Wastewater,Produced municipal wastewater,Lao People's Democratic Republic,2021,0.0836,10^9 m3/year,I,false
418,Water use,Wastewater,Produced municipal wastewater,Lao People's Democratic Republic,2022,0.0836,10^9 m3/year,I,false
418,Water use,Wastewater,Produced municipal wastewater,Lao People's Democratic Republic,2023,0.0836,10^9 m3/year,I,false
419,Water use,Wastewater,Produced municipal wastewater,Latin America and the Caribbean,2021,36.023859146,10^9 m3/year,E,true
419,Water use,Wastewater,Produced municipal wastewater,Latin America and the Caribbean,2022,34.298707461,10^9 m3/year,E,true
419,Water use,Wastewater,Produced municipal wastewater,Latin America and the Caribbean,2023,34.981306602,10^9 m3/year,E,true
428,Water use,Wastewater,Produced municipal wastewater,Latvia,2021,0.103136,10^9 m3/year,A,false
428,Water use,Wastewater,Produced municipal wastewater,Latvia,2022,0.105074,10^9 m3/year,A,false
428,Water use,Wastewater,Produced municipal wastewater,Latvia,2023,0.110682,10^9 m3/year,A,false
199,Water use,Wastewater,Produced municipal wastewater,Least Developed Countries,2021,7.390173125,10^9 m3/year,E,true
199,Water use,Wastewater,Produced municipal wastewater,Least Developed Countries,2022,7.395713125,10^9 m3/year,E,true
199,Water use,Wastewater,Produced municipal wastewater,Least Developed Countries,2023,7.402043125,10^9 m3/year,E,true
422,Water use,Wastewater,Produced municipal wastewater,Lebanon,2021,0.31,10^9 m3/year,I,false
422,Water use,Wastewater,Produced municipal wastewater,Lebanon,2022,0.31,10^9 m3/year,I,false
