m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
562,Water use,Wastewater,Produced municipal wastewater,Niger,2021,0.0396,10^9 m3/year,I,false
562,Water use,Wastewater,Produced municipal wastewater,Niger,2022,0.0396,10^9 m3/year,I,false
562,Water use,Wastewater,Produced municipal wastewater,Niger,2023,0.0396,10^9 m3/year,I,false
807,Water use,Wastewater,Produced municipal wastewater,North Macedonia,2021,0.0412,10^9 m3/year,I,false
807,Water use,Wastewater,Produced municipal wastewater,North Macedonia,2022,0.0412,10^9 m3/year,I,false
807,Water use,Wastewater,Produced municipal wastewater,North Macedonia,2023,0.0412,10^9 m3/year,I,false
15,Water use,Wastewater,Produced municipal wastewater,Northern Africa,2021,14.070908,10^9 m3/year,E,true
15,Water use,Wastewater,Produced municipal wastewater,Northern Africa,2022,14.078942,10^9 m3/year,E,true
15,Water use,Wastewater,Produced municipal wastewater,Northern Africa,2023,13.960942,10^9 m3/year,E,true
747,Water use,Wastewater,Produced municipal wastewater,Northern Africa and Western Asia,2021,32.719500113,10^9 m3/year,E,true
747,Water use,Wastewater,Produced municipal wastewater,Northern Africa and Western Asia,2022,33.137214245,10^9 m3/year,E,true
747,Water use,Wastewater,Produced municipal wastewater,Northern Africa and Western Asia,2023,33.115927603,10^9 m3/year,E,true
21,Water use,Wastewater,Produced municipal wastewater,Northern America,2021,65.8913653,10^9 m3/year,E,true
21,Water use,Wastewater,Produced municipal wastewater,Northern America,2022,66.2083653,10^9 m3/year,E,true
21,Water use,Wastewater,Produced municipal wastewater,Northern America,2023,66.4443653,10^9 m3/year,E,true
578,Water use,Wastewater,Produced municipal wastewater,Norway,2021,0.93,10^9 m3/year,I,false
578,Water use,Wastewater,Produced municipal wastewater,Norway,2022,0.93,10^9 m3/year,I,false
578,Water use,Wastewater,Produced municipal wastewater,Norway,2023,0.93,10^9 m3/year,I,false
9,Water use,Wastewater,Produced municipal wastewater,Oceania,2021,2.094,10^9 m3/year,E,true
9,Water use,Wastewater,Produced municipal wastewater,Oceania,2022,2.094,10^9 m3/year,E,true
9,Water use,Wastewater,Produced municipal wastewater,Oceania,2023,2.094,10^9 m3/year,E,true
512,Water use,Wastewater,Produced municipal wastewater,Oman,2021,0.108938951,10^9 m3/year,X,false
512,Water use,Wastewater,Produced municipal wastewater,Oman,2022,0.393081,10^9 m3/year,A,false
512,Water use,Wastewater,Produced municipal wastewater,Oman,2023,0.376424,10^9 m3/year,A,false
586,Water use,Wastewater,Produced municipal wastewater,Pakistan,2021,3.06,10^9 m3/year,I,false
586,Water use,Wastewater,Produced municipal wastewater,Pakistan,2022,3.06,10^9 m3/year,I,false
586,Water use,Wastewater,Produced municipal wastewater,Pakistan,2023,3.06,10^9 m3/year,I,false
275,Water use,Wastewater,Produced municipal wastewater,Palestine,2021,0.06643,10^9 m3/year,X,false
275,Water use,Wastewater,Produced municipal wastewater,Palestine,2022,0.06643,10^9 m3/year,I,false
275,Water use,Wastewater,Produced municipal wastewater,Palestine,2023,0.06643,10^9 m3/year,I,false
591,Water use,Wastewater,Produced municipal wastewater,Panama,2021,0.357376591,10^9 m3/year,X,false
591,Water use,Wastewater,Produced municipal wastewater,Panama,2022,0.357376591,10^9 m3/year,I,false
591,Water use,Wastewater,Produced municipal wastewater,Panama,2023,0.357376591,10^9 m3/year,I,false
600,Water use,Wastewater,Produced municipal wastewater,Paraguay,2021,0.2048,10^9 m3/year,I,false
600,Water use,Wastewater,Produced municipal wastewater,Paraguay,2022,0.2048,10^9 m3/year,I,false
600,Water use,Wastewater,Produced municipal wastewater,Paraguay,2023,0.2048,10^9 m3/year,I,false
604,Water use,Wastewater,Produced municipal wastewater,Peru,2021,1.203988131,10^9 m3/year,X,false
604,Water use,Wastewater,Produced municipal wastewater,Peru,2022,1.203988131,10^9 m3/year,I,false
604,Water use,Wastewater,Produced municipal wastewater,Peru,2023,1.203988131,10^9 m3/year,I,false
608,Water use,Wastewater,Produced municipal wastewater,Philippines,2021,1.259,10^9 m3/year,I,false
608,Water use,Wastewater,Produced municipal wastewater,Philippines,2022,1.259,10^9 m3/year,I,false
608,Water use,Wastewater,Produced municipal wastewater,Philippines,2023,1.259,10^9 m3/year,I,false
616,Water use,Wastewater,Produced municipal wastewater,Poland,2021,2.168,10^9 m3/year,I,false
616,Water use,Wastewater,Produced municipal wastewater,Poland,2022,2.168,10^9 m3/year,I,false
616,Water use,Wastewater,Produced municipal wastewater,Poland,2023,2.168,10^9 m3/year,I,false
620,Water use,Wastewater,Produced municipal wastewater,Portugal,2021,0.577,10^9 m3/year,I,false
620,Water use,Wastewater,Produced municipal wastewater,Portugal,2022,0.577,10^9 m3/year,I,false
620,Water use,Wastewater,Produced municipal wastewater,Portugal,2023,0.577,10^9 m3/year,I,false
634,Water use,Wastewater,Produced municipal wastewater,Qatar,2021,0.274,10^9 m3/year,I,false
634,Water use,Wastewater,Produced municipal wastewater,Qatar,2022,0.274,10^9 m3/year,I,false
634,Water use,Wastewater,Produced municipal wastewater,Qatar,2023,0.274,10^9 m3/year,I,false
410,Water use,Wastewater,Produced municipal wastewater,Republic of Korea,2021,7.838,10^9 m3/year,I,false
410,Water use,Wastewater,Produced municipal wastewater,Republic of Korea,2022,7.838,10^9 m3/year,I,false
410,Water use,Wastewater,Produced municipal wastewater,Republic of Korea,2023,7.838,10^9 m3/year,I,false
498,Water use,Wastewater,Produced municipal wastewater,Republic of Moldova,2021,0.6833165,10^9 m3/year,X,false
498,Water use,Wastewater,Produced municipal wastewater,Republic of Moldova,2022,0.6833165,10^9 m3/year,I,false
498,Water use,Wastewater,Produced municipal wastewater,Republic of Moldova,2023,0.6833165,10^9 m3/year,I,false
642,Water use,Wastewater,Produced municipal wastewater,Romania,2021,1.018,10^9 m3/year,A,false
642,Water use,Wastewater,Produced municipal wastewater,Romania,2022,0.994,10^9 m3/year,A,false
642,Water use,Wastewater,Produced municipal wastewater,Romania,2023,0.993,10^9 m3/year,A,false
643,Water use,Wastewater,Produced municipal wastewater,Russian Federation,2021,35.57,10^9 m3/year,A,false
643,Water use,Wastewater,Produced municipal wastewater,Russian Federation,2022,36.179,10^9 m3/year,A,false
643,Water use,Wastewater,Produced municipal wastewater,Russian Federation,2023,37.469,10^9 m3/year,A,false
682,Water use,Wastewater,Produced municipal wastewater,Saudi Arabia,2021,3.143697593,10^9 m3/year,I,false
682,Water use,Wastewater,Produced municipal wastewater,Saudi Arabia,2022,3.143697593,10^9 m3/year,I,false
682,Water use,Wastewater,Produced municipal wastewater,Saudi Arabia,2023,3.143697593,10^9 m3/year,I,false
686,Water use,Wastewater,Produced municipal wastewater,Senegal,2021,0.1626,10^9 m3/year,I,false
686,Water use,Wastewater,Produced municipal wastewater,Senegal,2022,0.1626,10^9 m3/year,I,false
686,Water use,Wastewater,Produced municipal wastewater,Senegal,2023,0.1626,10^9 m3/year,I,false
688,Water use,Wastewater,Produced municipal wastewater,Serbia,2021,0.426,10^9 m3/year,A,false
688,Water use,Wastewater,Produced municipal wastewater,Serbia,2022,0.437,10^9 m3/year,A,false
688,Water use,Wastewater,Produced municipal wastewater,Serbia,2023,0.426,10^9 m3/year,A,false
690,Water use,Wastewater,Produced municipal wastewater,Seychelles,2021,0.0088,10^9 m3/year,I,false
690,Water use,Wastewater,Produced municipal wastewater,Seychelles,2022,0.0088,10^9 m3/year,I,false
690,Water use,Wastewater,Produced municipal wastewater,Seychelles,2023,0.0088,10^9 m3/year,I,false
702,Water use,Wastewater,Produced municipal wastewater,Singapore,2021,0.511,10^9 m3/year,I,false
702,Water use,Wastewater,Produced municipal wastewater,Singapore,2022,0.511,10^9 m3/year,I,false
702,Water use,Wastewater,Produced municipal wastewater,Singapore,2023,0.511,10^9 m3/year,I,false
703,Water use,Wastewater,Produced municipal wastewater,Slovakia,2021,0.56,10^9 m3/year,I,false
703,Water use,Wastewater,Produced municipal wastewater,Slovakia,2022,0.56,10^9 m3/year,I,false
703,Water use,Wastewater,Produced municipal wastewater,Slovakia,2023,0.56,10^9 m3/year,I,false
705,Water use,Wastewater,Produced municipal wastewater,Slovenia,2021,0.233,10^9 m3/year,A,false
705,Water use,Wastewater,Produced municipal wastewater,Slovenia,2022,0.216,10^9 m3/year,A,false
705,Water use,Wastewater,Produced municipal wastewater,Slovenia,2023,0.256,10^9 m3/year,A,false
722,Water use,Wastewater,Produced municipal wastewater,Small Island Developing States,2021,4.022521905,10^9 m3/year,E,true
722,Water use,Wastewater,Produced municipal wastewater,Small Island Developing States,2022,4.037357715,10^9 m3/year,E,true
722,Water use,Wastewater,Produced municipal wastewater,Small Island Developing States,2023,4.037357715,10^9 m3/year,E,true
710,Water use,Wastewater,Produced municipal wastewater,South Africa,2021,3.456,10^9 m3/year,A,false
710,Water use,Wastewater,Produced municipal wastewater,South Africa,2022,3.456,10^9 m3/year,A,false
710,Water use,Wastewater,Produced municipal wastewater,South Africa,2023,3.456,10^9 m3/year,I,false
35,Water use,Wastewater,Produced municipal wastewater,South-eastern Asia,2021,25.448128837,10^9 m3/year,E,true
35,Water use,Wastewater,Produced municipal wastewater,South-eastern Asia,2022,25.448128837,10^9 m3/year,E,true
35,Water use,Wastewater,Produced municipal wastewater,South-eastern Asia,2023,25.448128837,10^9 m3/year,E,true
34,Water use,Wastewater,Produced municipal wastewater,Southern Asia,2021,28.572893301,10^9 m3/year,E,true
34,Water use,Wastewater,Produced municipal wastewater,Southern Asia,2022,28.848893125,10^9 m3/year,E,true
34,Water use,Wastewater,Produced municipal wastewater,Southern Asia,2023,28.891893125,10^9 m3/year,E,true
724,Water use,Wastewater,Produced municipal wastewater,Spain,2021,5.68,10^9 m3/year,I,false
724,Water use,Wastewater,Produced municipal wastewater,Spain,2022,5.68,10^9 m3/year,I,false
724,Water use,Wastewater,Produced municipal wastewater,Spain,2023,5.68,10^9 m3/year,I,false
144,Water use,Wastewater,Produced municipal wastewater,Sri Lanka,2021,0.1181,10^9 m3/year,I,false
144,Water use,Wastewater,Produced municipal wastewater,Sri Lanka,2022,0.1181,10^9 m3/year,I,false
144,Water use,Wastewater,Produced municipal wastewater,Sri Lanka,2023,0.1181,10^9 m3/year,I,false
202,Water use,Wastewater,Produced municipal wastewater,Sub-Saharan Africa,2021,6.551548467,10^9 m3/year,E,true
202,Water use,Wastewater,Produced municipal wastewater,Sub-Saharan Africa,2022,6.571874277,10^9 m3/year,E,true
202,Water use,Wastewater,Produced municipal wastewater,Sub-Saharan Africa,2023,6.578154277,10^9 m3/year,E,true
729,Water use,Wastewater,Produced municipal wastewater,Sudan,2021,0.4797,10^9 m3/year,I,false
729,Water use,Wastewater,Produced municipal wastewater,Sudan,2022,0.4797,10^9 m3/year,I,false
729,Water use,Wastewater,Produced municipal wastewater,Sudan,2023,0.4797,10^9 m3/year,I,false
752,Water use,Wastewater,Produced municipal wastewater,Sweden,2021,1.18,10^9 m3/year,I,false
752,Water use,Wastewater,Produced municipal wastewater,Sweden,2022,1.18,10^9 m3/year,I,false
752,Water use,Wastewater,Produced municipal wastewater,Sweden,2023,1.18,10^9 m3/year,I,false
756,Water use,Wastewater,Produced municipal wastewater,Switzerland,2021,1.409,10^9 m3/year,I,false
756,Water use,Wastewater,Produced municipal wastewater,Switzerland,2022,1.409,10^9 m3/year,I,false
756,Water use,Wastewater,Produced municipal wastewater,Switzerland,2023,1.409,10^9 m3/year,I,false
760,Water use,Wastewater,Produced municipal wastewater,Syrian Arab Republic,2021,1.37,10^9 m3/year,I,false
760,Water use,Wastewater,Produced municipal wastewater,Syrian Arab Republic,2022,1.37,10^9 m3/year,I,false
760,Water use,Wastewater,Produced municipal wastewater,Syrian Arab Republic,2023,1.37,10^9 m3/year,I,false
762,Water use,Wastewater,Produced municipal wastewater,Tajikistan,2021,0.34,10^9 m3/year,I,false
762,Water use,Wastewater,Produced municipal wastewater,Tajikistan,2022,0.34,10^9 m3/year,I,false
762,Water use,Wastewater,Produced municipal wastewater,Tajikistan,2023,0.34,10^9 m3/year,I,false
764,Water use,Wastewater,Produced municipal wastewater,Thailand,2021,5.11,10^9 m3/year,I,false
764,Water use,Wastewater,Produced municipal wastewater,Thailand,2022,5.11,10^9 m3/year,I,false
764,Water use,Wastewater,Produced municipal wastewater,Thailand,2023,5.11,10^9 m3/year,I,false
788,Water use,Wastewater,Produced municipal wastewater,Tunisia,2021,0.42,10^9 m3/year,A,false
788,Water use,Wastewater,Produced municipal wastewater,Tunisia,2022,0.429,10^9 m3/year,A,false
788,Water use,Wastewater,Produced municipal wastewater,Tunisia,2023,0.311,10^9 m3/year,A,false
795,Water use,Wastewater,Produced municipal wastewater,Turkmenistan,2021,6.1857,10^9 m3/year,I,false
795,Water use,Wastewater,Produced municipal wastewater,Turkmenistan,2022,6.1857,10^9 m3/year,I,false
795,Water use,Wastewater,Produced municipal wastewater,Turkmenistan,2023,6.1857,10^9 m3/year,I,false
792,Water use,Wastewater,Produced municipal wastewater,Türkiye,2021,5.612016895,10^9 m3/year,I,false
792,Water use,Wastewater,Produced municipal wastewater,Türkiye,2022,5.787493352,10^9 m3/year,A,false
792,Water use,Wastewater,Produced municipal wastewater,Türkiye,2023,5.787493352,10^9 m3/year,I,false
800,Water use,Wastewater,Produced municipal wastewater,Uganda,2021,0.0419,10^9 m3/year,I,false
800,Water use,Wastewater,Produced municipal wastewater,Uganda,2022,0.0419,10^9 m3/year,I,false
800,Water use,Wastewater,Produced municipal wastewater,Uganda,2023,0.0419,10^9 m3/year,I,false
804,Water use,Wastewater,Produced municipal wastewater,Ukraine,2021,1.505,10^9 m3/year,A,false
804,Water use,Wastewater,Produced municipal wastewater,Ukraine,2022,1.157,10^9 m3/year,A,false
804,Water use,Wastewater,Produced municipal wastewater,Ukraine,2023,1.199,10^9 m3/year,A,false
784,Water use,Wastewater,Produced municipal wastewater,United Arab Emirates,2021,0.925652174,10^9 m3/year,I,false
784,Water use,Wastewater,Produced municipal wastewater,United Arab Emirates,2022,0.945,10^9 m3/year,A,false
784,Water use,Wastewater,Produced municipal wastewater,United Arab Emirates,2023,1.053769438,10^9 m3/year,A,false
826,Water use,Wastewater,Produced municipal wastewater,United Kingdom of Great Britain and Northern Ireland,2021,4.089,10^9 m3/year,I,false
826,Water use,Wastewater,Produced municipal wastewater,United Kingdom of Great Britain and Northern Ireland,2022,4.089,10^9 m3/year,I,false
826,Water use,Wastewater,Produced municipal wastewater,United Kingdom of Great Britain and Northern Ireland,2023,4.089,10^9 m3/year,I,false
840,Water use,Wastewater,Produced municipal wastewater,United States of America,2021,60.41,10^9 m3/year,I,false
840,Water use,Wastewater,Produced municipal wastewater,United States of America,2022,60.41,10^9 m3/year,I,false
840,Water use,Wastewater,Produced municipal wastewater,United States of America,2023,60.41,10^9 m3/year,I,false
858,Water use,Wastewater,Produced municipal wastewater,Uruguay,2021,0.363,10^9 m3/year,A,false
858,Water use,Wastewater,Produced municipal wastewater,Uruguay,2022,0.355,10^9 m3/year,A,false
858,Water use,Wastewater,Produced municipal wastewater,Uruguay,2023,0.36,10^9 m3/year,A,false
860,Water use,Wastewater,Produced municipal wastewater,Uzbekistan,2021,0.9904556,10^9 m3/year,I,false
860,Water use,Wastewater,Produced municipal wastewater,Uzbekistan,2022,0.9904556,10^9 m3/year,I,false
860,Water use,Wastewater,Produced municipal wastewater,Uzbekistan,2023,0.9904556,10^9 m3/year,I,false
862,Water use,Wastewater,Produced municipal wastewater,Venezuela (Bolivarian Republic of),2021,2.903,10^9 m3/year,I,false
862,Water use,Wastewater,Produced municipal wastewater,Venezuela (Bolivarian Republic of),2022,2.903,10^9 m3/year,I,false
862,Water use,Wastewater,Produced municipal wastewater,Venezuela (Bolivarian Republic of),2023,2.903,10^9 m3/year,I,false
704,Water use,Wastewater,Produced municipal wastewater,Viet Nam,2021,1.972,10^9 m3/year,I,false
704,Water use,Wastewater,Produced municipal wastewater,Viet Nam,2022,1.972,10^9 m3/year,I,false
704,Water use,Wastewater,Produced municipal wastewater,Viet Nam,2023,1.972,10^9 m3/year,I,false
145,Water use,Wastewater,Produced municipal wastewater,Western Asia,2021,18.648592113,10^9 m3/year,E,true
145,Water use,Wastewater,Produced municipal wastewater,Western Asia,2022,19.058272245,10^9 m3/year,E,true
145,Water use,Wastewater,Produced municipal wastewater,Western Asia,2023,19.154985603,10^9 m3/year,E,true
1,Water use,Wastewater,Produced municipal wastewater,World,2021,366.366111616,10^9 m3/year,E,true
1,Water use,Wastewater,Produced municipal wastewater,World,2022,365.785550759,10^9 m3/year,E,true
1,Water use,Wastewater,Produced municipal wastewater,World,2023,368.175517395,10^9 m3/year,E,true
887,Water use,Wastewater,Produced municipal wastewater,Yemen,2021,0.1315,10^9 m3/year,I,false
887,Water use,Wastewater,Produced municipal wastewater,Yemen,2022,0.1315,10^9 m3/year,I,false
887,Water use,Wastewater,Produced municipal wastewater,Yemen,2023,0.1315,10^9 m3/year,I,false
894,Water use,Wastewater,Produced municipal wastewater,Zambia,2021,0.11338,10^9 m3/year,A,false
894,Water use,Wastewater,Produced municipal wastewater,Zambia,2022,0.11298,10^9 m3/year,A,false
894,Water use,Wastewater,Produced municipal wastewater,Zambia,2023,0.11535,10^9 m3/year,A,false
716,Water use,Wastewater,Produced municipal wastewater,Zimbabwe,2021,0.226490292,10^9 m3/year,I,false
716,Water use,Wastewater,Produced municipal wastewater,Zimbabwe,2022,0.226490292,10^9 m3/year,I,false
716,Water use,Wastewater,Produced municipal wastewater,Zimbabwe,2023,0.226490292,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2021,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2022,20,10^9 m3/year,I,false
4,Water use,Water withdrawal by sector,Agricultural water withdrawal,Afghanistan,2023,20,10^9 m3/year,I,false
8,Water use,Water withdrawal by sector,Agricultural water withdrawal,Albania,2021,0.564,10^9 m3/year,A,false
8,Water use,Water withdrawal by sector,Agricultural water withdrawal,Albania,2022,0.565,10^9 m3/year,A,false
8,Water use,Water withdrawal by sector,Agricultural water withdrawal,Albania,2023,0.563,10^9 m3/year,A,false
12,Water use,Water withdrawal by sector,Agricultural water withdrawal,Algeria,2021,7.132,10^9 m3/year,A,false
12,Water use,Water withdrawal by sector,Agricultural water withdrawal,Algeria,2022,7.391,10^9 m3/year,A,false
12,Water use,Water withdrawal by sector,Agricultural water withdrawal,Algeria,2023,7.391,10^9 m3/year,I,false
24,Water use,Water withdrawal by sector,Agricultural water withdrawal,Angola,2021,0.1467,10^9 m3/year,I,false
24,Water use,Water withdrawal by sector,Agricultural water withdrawal,Angola,2022,0.1467,10^9 m3/year,I,false
24,Water use,Water withdrawal by sector,Agricultural water withdrawal,Angola,2023,0.1467,10^9 m3/year,I,false
28,Water use,Water withdrawal by sector,Agricultural water withdrawal,Antigua and Barbuda,2021,0.0018,10^9 m3/year,I,false
28,Water use,Water withdrawal by sector,Agricultural water withdrawal,Antigua and Barbuda,2022,0.0018,10^9 m3/year,I,false
28,Water use,Water withdrawal by sector,Agricultural water withdrawal,Antigua and Barbuda,2023,0.0018,10^9 m3/year,I,false
32,Water use,Water withdrawal by sector,Agricultural water withdrawal,Argentina,2021,27.93,10^9 m3/year,I,false
32,Water use,Water withdrawal by sector,Agricultural water withdrawal,Argentina,2022,27.93,10^9 m3/year,I,false
32,Water use,Water withdrawal by sector,Agricultural water withdrawal,Argentina,2023,27.93,10^9 m3/year,I,false
51,Water use,Water withdrawal by sector,Agricultural water withdrawal,Armenia,2021,2.256,10^9 m3/year,A,false
51,Water use,Water withdrawal by sector,Agricultural water withdrawal,Armenia,2022,2.38,10^9 m3/year,A,false
51,Water use,Water withdrawal by sector,Agricultural water withdrawal,Armenia,2023,2.38,10^9 m3/year,I,false
36,Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia,2021,10.84,10^9 m3/year,A,false
36,Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia,2022,11.17,10^9 m3/year,A,false
36,Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia,2023,11.6,10^9 m3/year,A,false
53,Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2021,14.047,10^9 m3/year,E,true
53,Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2022,14.377,10^9 m3/year,E,true
53,Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2023,14.807,10^9 m3/year,E,true
40,Water use,Water withdrawal by sector,Agricultural water withdrawal,Austria,2021,0.124,10^9 m3/year,I,false
40,Water use,Water withdrawal by sector,Agricultural water withdrawal,Austria,2022,0.124,10^9 m3/year,I,false
40,Water use,Water withdrawal by sector,Agricultural water withdrawal,Austria,2023,0.124,10^9 m3/year,I,false
31,Water use,Water withdrawal by sector,Agricultural water withdrawal,Azerbaijan,2021,11.962,10^9 m3/year,A,false
31,Water use,Water withdrawal by sector,Agricultural water withdrawal,Azerbaijan,2022,11.962,10^9 m3/year,I,false
31,Water use,Water withdrawal by sector,Agricultural water withdrawal,Azerbaijan,2023,11.962,10^9 m3/year,I,false
48,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bahrain,2021,0.1447,10^9 m3/year,I,false
48,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bahrain,2022,0.1447,10^9 m3/year,I,false
48,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bahrain,2023,0.1447,10^9 m3/year,I,false
50,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bangladesh,2021,31.5,10^9 m3/year,I,false
50,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bangladesh,2022,31.5,10^9 m3/year,I,false
50,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bangladesh,2023,31.5,10^9 m3/year,I,false
52,Water use,Water withdrawal by sector,Agricultural water withdrawal,Barbados,2021,0.0548,10^9 m3/year,I,false
52,Water use,Water withdrawal by sector,Agricultural water withdrawal,Barbados,2022,0.0548,10^9 m3/year,I,false
52,Water use,Water withdrawal by sector,Agricultural water withdrawal,Barbados,2023,0.0548,10^9 m3/year,I,false
112,Water use,Water withdrawal by sector,Agricultural water withdrawal,Belarus,2021,0.396,10^9 m3/year,A,false
112,Water use,Water withdrawal by sector,Agricultural water withdrawal,Belarus,2022,0.385,10^9 m3/year,A,false
112,Water use,Water withdrawal by sector,Agricultural water withdrawal,Belarus,2023,0.358,10^9 m3/year,A,false
56,Water use,Water withdrawal by sector,Agricultural water withdrawal,Belgium,2021,0.04197,10^9 m3/year,X,false
56,Water use,Water withdrawal by sector,Agricultural water withdrawal,Belgium,2022,0.04197,10^9 m3/year,I,false
56,Water use,Water withdrawal by sector,Agricultural water withdrawal,Belgium,2023,0.04197,10^9 m3/year,I,false
84,Water use,Water withdrawal by sector,Agricultural water withdrawal,Belize,2021,0.0684,10^9 m3/year,I,false
84,Water use,Water withdrawal by sector,Agricultural water withdrawal,Belize,2022,0.0684,10^9 m3/year,I,false
84,Water use,Water withdrawal by sector,Agricultural water withdrawal,Belize,2023,0.0684,10^9 m3/year,I,false
204,Water use,Water withdrawal by sector,Agricultural water withdrawal,Benin,2021,0.059,10^9 m3/year,I,false
204,Water use,Water withdrawal by sector,Agricultural water withdrawal,Benin,2022,0.059,10^9 m3/year,I,false
204,Water use,Water withdrawal by sector,Agricultural water withdrawal,Benin,2023,0.059,10^9 m3/year,I,false
64,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bhutan,2021,0.318,10^9 m3/year,I,false
64,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bhutan,2022,0.318,10^9 m3/year,I,false
64,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bhutan,2023,0.318,10^9 m3/year,I,false
68,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bolivia (Plurinational State of),2021,1.92,10^9 m3/year,I,false
68,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bolivia (Plurinational State of),2022,1.92,10^9 m3/year,I,false
68,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bolivia (Plurinational State of),2023,1.92,10^9 m3/year,I,false
72,Water use,Water withdrawal by sector,Agricultural water withdrawal,Botswana,2021,0.0779995,10^9 m3/year,A,false
72,Water use,Water withdrawal by sector,Agricultural water withdrawal,Botswana,2022,0.0596609,10^9 m3/year,A,false
72,Water use,Water withdrawal by sector,Agricultural water withdrawal,Botswana,2023,0.062,10^9 m3/year,A,false
76,Water use,Water withdrawal by sector,Agricultural water withdrawal,Brazil,2021,41.27,10^9 m3/year,A,false
76,Water use,Water withdrawal by sector,Agricultural water withdrawal,Brazil,2022,41.336,10^9 m3/year,A,false
76,Water use,Water withdrawal by sector,Agricultural water withdrawal,Brazil,2023,37.866,10^9 m3/year,A,false
96,Water use,Water withdrawal by sector,Agricultural water withdrawal,Brunei Darussalam,2021,0.0053,10^9 m3/year,I,false
96,Water use,Water withdrawal by sector,Agricultural water withdrawal,Brunei Darussalam,2022,0.0053,10^9 m3/year,I,false
96,Water use,Water withdrawal by sector,Agricultural water withdrawal,Brunei Darussalam,2023,0.0053,10^9 m3/year,I,false
100,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bulgaria,2021,0.737,10^9 m3/year,A,false
100,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bulgaria,2022,0.725,10^9 m3/year,A,false
100,Water use,Water withdrawal by sector,Agricultural water withdrawal,Bulgaria,2023,0.749,10^9 m3/year,A,false
854,Water use,Water withdrawal by sector,Agricultural water withdrawal,Burkina Faso,2021,0.4207,10^9 m3/year,I,false
854,Water use,Water withdrawal by sector,Agricultural water withdrawal,Burkina Faso,2022,0.4207,10^9 m3/year,I,false
854,Water use,Water withdrawal by sector,Agricultural water withdrawal,Burkina Faso,2023,0.4207,10^9 m3/year,I,false
108,Water use,Water withdrawal by sector,Agricultural water withdrawal,Burundi,2021,0.222,10^9 m3/year,I,false
108,Water use,Water withdrawal by sector,Agricultural water withdrawal,Burundi,2022,0.222,10^9 m3/year,I,false
108,Water use,Water withdrawal by sector,Agricultural water withdrawal,Burundi,2023,0.222,10^9 m3/year,I,false
132,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cabo Verde,2021,0.10926951,10^9 m3/year,A,false
132,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cabo Verde,2022,0.10321736,10^9 m3/year,A,false
132,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cabo Verde,2023,0.10321736,10^9 m3/year,I,false
116,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cambodia,2021,2.053,10^9 m3/year,I,false
116,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cambodia,2022,2.053,10^9 m3/year,I,false
116,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cambodia,2023,2.053,10^9 m3/year,I,false
120,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cameroon,2021,0.737,10^9 m3/year,I,false
120,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cameroon,2022,0.737,10^9 m3/year,I,false
120,Water use,Water withdrawal by sector,Agricultural water withdrawal,Cameroon,2023,0.737,10^9 m3/year,I,false
124,Water use,Water withdrawal by sector,Agricultural water withdrawal,Canada,2021,3.859,10^9 m3/year,I,false
124,Water use,Water withdrawal by sector,Agricultural water withdrawal,Canada,2022,3.859,10^9 m3/year,I,false
124,Water use,Water withdrawal by sector,Agricultural water withdrawal,Canada,2023,3.859,10^9 m3/year,I,false
140,Water use,Water withdrawal by sector,Agricultural water withdrawal,Central African Republic,2021,0.0004,10^9 m3/year,I,false
140,Water use,Water withdrawal by sector,Agricultural water withdrawal,Central African Republic,2022,0.0004,10^9 m3/year,I,false
140,Water use,Water withdrawal by sector,Agricultural water withdrawal,Central African Republic,2023,0.0004,10^9 m3/year,I,false
